Gender,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Credit_History,Property_Area,Loan_Status,Application_Note
Female,Graduate,No,1072,0.0,381.0,1.0,Semiurban,Y,Investment in a new startup opportunity. I am very confident in repayment.
Male,Graduate,No,539,0.0,65.0,0.0,Rural,Y,Urgent medical expenses covered by loan. I might struggle slightly initially.
Female,Graduate,Yes,584,0.0,228.0,1.0,Urban,Y,Buying a new car for daily commute. Facing some financial stress currently.
Male,Not Graduate,No,1499,1064.4608591,218.0,0.0,Urban,N,Urgent medical expenses covered by loan. Facing some financial stress currently.
Male,Not Graduate,No,4792,0.0,177.0,1.0,Semiurban,N,Planning to expand my small business operations. Facing some financial stress currently.
Male,Not Graduate,No,2988,0.0,231.0,1.0,Semiurban,Y,Urgent medical expenses covered by loan. Business is booming right now.
Male,Not Graduate,No,1577,0.0,254.0,0.0,Rural,Y,Planning to expand my small business operations. Business is booming right now.
Male,Not Graduate,No,12748,0.0,256.0,1.0,Semiurban,N,I need to renovate my house immediately. I am very confident in repayment.
Male,Graduate,No,2038,0.0,132.0,0.0,Rural,Y,Urgent medical expenses covered by loan. I might struggle slightly initially.
Male,Graduate,No,1374,0.0,221.0,0.0,Urban,Y,I need to renovate my house immediately. Facing some financial stress currently.
Male,Not Graduate,No,4729,0.0,172.0,1.0,Semiurban,Y,Planning to expand my small business operations. I am very confident in repayment.
Male,Graduate,No,3311,0.0,152.0,1.0,Semiurban,Y,Buying a new car for daily commute. I am very confident in repayment.
Female,Graduate,Yes,550,0.0,395.0,1.0,Rural,Y,Urgent medical expenses covered by loan. Facing some financial stress currently.
Male,Not Graduate,No,2532,111.14694087,361.0,1.0,Rural,Y,I need to renovate my house immediately. Business is booming right now.
Male,Graduate,Yes,150,0.0,144.0,1.0,Semiurban,Y,Consolidating high-interest debts. Facing some financial stress currently.
Male,Graduate,No,150,5015.09763914,168.0,1.0,Semiurban,N,Consolidating high-interest debts. I might struggle slightly initially.
Male,Not Graduate,No,150,670.14646926,238.0,1.0,Rural,N,I need to renovate my house immediately. Facing some financial stress currently.
Male,Not Graduate,No,2972,116.59678228,158.0,0.0,Semiurban,Y,I need to renovate my house immediately. Facing some financial stress currently.
Male,Graduate,No,150,0.0,235.0,1.0,Urban,Y,Planning to expand my small business operations. I am very confident in repayment.
Male,Graduate,No,2310,0.0,145.0,0.0,Urban,Y,Planning to expand my small business operations. Business is booming right now.
Male,Not Graduate,No,7262,0.0,191.0,0.0,Rural,Y,Consolidating high-interest debts. Business is booming right now.
Male,Graduate,Yes,5764,0.0,219.0,1.0,Urban,N,Buying a new car for daily commute. I am very confident in repayment.
Male,Not Graduate,No,150,10012.85090373,197.0,1.0,Urban,N,Urgent medical expenses covered by loan. Business is booming right now.
Female,Not Graduate,No,1868,2210.71418993,426.0,1.0,Rural,N,Consolidating high-interest debts. Business is booming right now.
Female,Graduate,No,13762,18.08147347,219.0,1.0,Rural,N,I need to renovate my house immediately. I am very confident in repayment.
Male,Graduate,Yes,11306,3522.76676884,120.0,1.0,Rural,N,Investment in a new startup opportunity. I am very confident in repayment.
Male,Graduate,Yes,1927,2161.53036361,78.0,0.0,Urban,N,I need to renovate my house immediately. Facing some financial stress currently.
Male,Not Graduate,Yes,150,930.48645605,214.0,0.0,Semiurban,Y,Buying a new car for daily commute. Business is booming right now.
Female,Not Graduate,No,150,0.0,266.0,0.0,Urban,Y,Investment in a new startup opportunity. Business is booming right now.
Male,Not Graduate,No,2163,0.0,80.0,1.0,Rural,Y,I need to renovate my house immediately. I am very confident in repayment.
Female,Graduate,No,6288,296.40894627,147.0,1.0,Semiurban,Y,I need to renovate my house immediately. I am very confident in repayment.
Male,Not Graduate,No,9093,0.0,183.0,1.0,Rural,N,Urgent medical expenses covered by loan. I am very confident in repayment.
Female,Graduate,No,1928,946.28174073,233.0,1.0,Semiurban,Y,Investment in a new startup opportunity. Business is booming right now.
Male,Not Graduate,No,16176,2958.12232921,224.0,1.0,Semiurban,Y,Buying a new car for daily commute. I am very confident in repayment.
Female,Graduate,No,1395,49.51024184,79.0,1.0,Rural,N,Consolidating high-interest debts. Business is booming right now.
Male,Graduate,No,150,0.0,439.0,1.0,Semiurban,Y,Buying a new car for daily commute. Business is booming right now.
Male,Not Graduate,No,5646,0.0,35.0,1.0,Urban,Y,Planning to expand my small business operations. I might struggle slightly initially.
Male,Graduate,Yes,150,0.0,171.0,1.0,Semiurban,Y,Planning to expand my small business operations. Facing some financial stress currently.
Male,Graduate,No,3362,0.0,331.0,1.0,Semiurban,N,Investment in a new startup opportunity. Facing some financial stress currently.
Female,Graduate,Yes,150,0.0,251.0,0.0,Semiurban,N,I need to renovate my house immediately. Facing some financial stress currently.
Male,Graduate,No,318,0.0,181.0,1.0,Semiurban,Y,Consolidating high-interest debts. I might struggle slightly initially.
Female,Graduate,No,794,0.0,176.0,0.0,Urban,Y,Buying a new car for daily commute. Business is booming right now.
Male,Graduate,No,4012,0.0,51.0,1.0,Rural,N,I need to renovate my house immediately. Facing some financial stress currently.
Female,Not Graduate,Yes,5118,2017.01910025,249.0,1.0,Semiurban,Y,I need to renovate my house immediately. Facing some financial stress currently.
Male,Graduate,No,1150,0.0,413.0,1.0,Rural,Y,Urgent medical expenses covered by loan. Business is booming right now.
Male,Graduate,No,150,0.0,93.0,1.0,Semiurban,Y,Buying a new car for daily commute. I am very confident in repayment.
Male,Not Graduate,No,1831,0.0,167.0,0.0,Urban,N,Urgent medical expenses covered by loan. Facing some financial stress currently.
Male,Graduate,No,182,0.0,249.0,1.0,Rural,Y,Consolidating high-interest debts. Facing some financial stress currently.
Male,Graduate,No,830,2913.79355123,240.0,1.0,Rural,Y,Investment in a new startup opportunity. I might struggle slightly initially.
Male,Graduate,No,150,0.0,97.0,1.0,Rural,Y,Buying a new car for daily commute. Business is booming right now.
Female,Not Graduate,No,1123,0.0,221.0,1.0,Rural,N,Planning to expand my small business operations. Facing some financial stress currently.
Male,Not Graduate,No,4850,131.60754853,149.0,1.0,Rural,Y,Investment in a new startup opportunity. I might struggle slightly initially.
Male,Graduate,No,17790,126.80392112,234.0,1.0,Urban,N,I need to renovate my house immediately. I am very confident in repayment.
Female,Graduate,No,12625,82.3644045,202.0,1.0,Rural,N,Consolidating high-interest debts. I am very confident in repayment.
Male,Graduate,No,150,0.0,204.0,1.0,Rural,Y,I need to renovate my house immediately. Facing some financial stress currently.
Female,Not Graduate,No,900,0.0,345.0,1.0,Semiurban,N,Consolidating high-interest debts. I might struggle slightly initially.
Female,Graduate,No,5685,40.98283213,250.0,1.0,Semiurban,N,Investment in a new startup opportunity. I am very confident in repayment.
Female,Graduate,No,150,0.0,271.0,1.0,Semiurban,N,Buying a new car for daily commute. I am very confident in repayment.
Male,Not Graduate,No,5276,0.0,196.0,1.0,Semiurban,Y,Investment in a new startup opportunity. Business is booming right now.
Male,Not Graduate,Yes,483,0.0,259.0,1.0,Semiurban,Y,Planning to expand my small business operations. I might struggle slightly initially.
Female,Graduate,Yes,5542,232.77328222,185.0,0.0,Rural,Y,Investment in a new startup opportunity. Business is booming right now.
Male,Graduate,No,150,0.0,171.0,1.0,Semiurban,Y,Investment in a new startup opportunity. Business is booming right now.
Male,Graduate,Yes,9652,2119.29836342,67.0,0.0,Rural,Y,Consolidating high-interest debts. I might struggle slightly initially.
Male,Graduate,Yes,5418,0.0,207.0,1.0,Urban,Y,Planning to expand my small business operations. I am very confident in repayment.
Female,Graduate,No,636,0.0,241.0,1.0,Rural,N,Urgent medical expenses covered by loan. Business is booming right now.
Male,Graduate,No,971,397.77958959,41.0,1.0,Semiurban,Y,I need to renovate my house immediately. I might struggle slightly initially.
Male,Graduate,No,6857,0.0,196.0,1.0,Urban,N,Investment in a new startup opportunity. I am very confident in repayment.
Male,Graduate,Yes,2753,0.0,242.0,0.0,Semiurban,Y,I need to renovate my house immediately. I am very confident in repayment.
Male,Not Graduate,No,2016,1666.23874602,172.0,1.0,Semiurban,Y,Buying a new car for daily commute. Facing some financial stress currently.
Male,Graduate,No,597,670.97952438,238.0,1.0,Rural,N,Planning to expand my small business operations. Facing some financial stress currently.
Male,Graduate,No,1755,1191.63764464,108.0,1.0,Rural,N,Buying a new car for daily commute. I might struggle slightly initially.
Male,Graduate,Yes,4433,788.27421718,124.0,1.0,Semiurban,Y,I need to renovate my house immediately. I might struggle slightly initially.
Female,Graduate,No,150,0.0,165.0,0.0,Rural,Y,Consolidating high-interest debts. Business is booming right now.
Female,Graduate,Yes,150,0.0,239.0,0.0,Urban,Y,Investment in a new startup opportunity. I am very confident in repayment.
Male,Graduate,No,10544,0.0,147.0,1.0,Urban,N,Urgent medical expenses covered by loan. I am very confident in repayment.
Male,Graduate,No,3303,0.0,125.0,1.0,Urban,Y,Urgent medical expenses covered by loan. Business is booming right now.
Female,Not Graduate,No,4592,0.0,164.0,1.0,Rural,Y,Investment in a new startup opportunity. Facing some financial stress currently.
Male,Graduate,No,150,0.0,243.0,1.0,Urban,N,Buying a new car for daily commute. Business is booming right now.
Male,Not Graduate,No,7869,0.0,271.0,1.0,Semiurban,N,Consolidating high-interest debts. Facing some financial stress currently.
Male,Graduate,No,3213,88.35380502,111.0,1.0,Urban,Y,Buying a new car for daily commute. I might struggle slightly initially.
Male,Graduate,No,150,400.48448481,271.0,1.0,Semiurban,N,Urgent medical expenses covered by loan. I am very confident in repayment.
Female,Graduate,No,150,0.0,265.0,1.0,Rural,N,Planning to expand my small business operations. I am very confident in repayment.
Male,Not Graduate,No,204,223.90600342,275.0,1.0,Semiurban,Y,Planning to expand my small business operations. Business is booming right now.
Male,Graduate,No,3751,68.54820175,412.0,1.0,Rural,N,Buying a new car for daily commute. I am very confident in repayment.
Male,Graduate,No,918,0.0,166.0,0.0,Semiurban,Y,Urgent medical expenses covered by loan. Business is booming right now.
Female,Graduate,No,3322,854.89110113,416.0,1.0,Semiurban,Y,Buying a new car for daily commute. I am very confident in repayment.
Male,Graduate,No,957,88.32402243,91.0,0.0,Rural,Y,I need to renovate my house immediately. I am very confident in repayment.
Male,Graduate,No,150,0.0,231.0,1.0,Rural,N,Buying a new car for daily commute. Facing some financial stress currently.
Male,Graduate,No,2054,0.0,394.0,1.0,Urban,Y,I need to renovate my house immediately. Business is booming right now.
Male,Graduate,No,638,0.0,253.0,0.0,Urban,Y,Buying a new car for daily commute. Business is booming right now.
Male,Not Graduate,No,440,1254.40575492,172.0,1.0,Rural,Y,Buying a new car for daily commute. I might struggle slightly initially.
Male,Not Graduate,No,4490,0.0,283.0,1.0,Rural,Y,Investment in a new startup opportunity. I am very confident in repayment.
Male,Graduate,Yes,150,0.0,179.0,1.0,Semiurban,Y,Investment in a new startup opportunity. I might struggle slightly initially.
Male,Not Graduate,No,1046,3288.25595409,206.0,1.0,Semiurban,Y,Urgent medical expenses covered by loan. I am very confident in repayment.
Male,Graduate,No,2165,0.0,353.0,1.0,Rural,N,Urgent medical expenses covered by loan. Facing some financial stress currently.
Male,Graduate,No,4305,4351.6143292,83.0,1.0,Urban,Y,I need to renovate my house immediately. I might struggle slightly initially.
Male,Graduate,No,150,482.01945559,9.0,1.0,Urban,Y,Urgent medical expenses covered by loan. Business is booming right now.
Male,Not Graduate,No,1270,0.0,120.0,0.0,Rural,Y,Consolidating high-interest debts. Facing some financial stress currently.
Male,Not Graduate,No,756,0.0,197.0,1.0,Rural,Y,Consolidating high-interest debts. Business is booming right now.
Female,Graduate,No,150,0.0,178.0,1.0,Urban,Y,Planning to expand my small business operations. Facing some financial stress currently.
Male,Graduate,Yes,985,0.0,258.0,1.0,Semiurban,Y,Consolidating high-interest debts. I might struggle slightly initially.
Male,Graduate,No,513,0.0,9.0,1.0,Urban,Y,Consolidating high-interest debts. Facing some financial stress currently.
Male,Graduate,No,1185,0.0,144.0,1.0,Rural,N,Buying a new car for daily commute. Business is booming right now.
Male,Graduate,No,2585,0.0,169.0,1.0,Semiurban,Y,Planning to expand my small business operations. Facing some financial stress currently.
Male,Graduate,No,2436,0.0,176.0,1.0,Urban,Y,Buying a new car for daily commute. Business is booming right now.
Male,Not Graduate,No,150,0.0,218.0,1.0,Urban,Y,Planning to expand my small business operations. I am very confident in repayment.
Male,Graduate,No,2172,0.0,245.0,1.0,Semiurban,Y,Planning to expand my small business operations. I might struggle slightly initially.
Female,Not Graduate,No,3565,0.0,227.0,1.0,Semiurban,Y,Planning to expand my small business operations. I am very confident in repayment.
Male,Graduate,No,5699,0.0,108.0,1.0,Semiurban,Y,Urgent medical expenses covered by loan. Facing some financial stress currently.
Male,Graduate,Yes,8031,0.0,173.0,0.0,Urban,Y,Consolidating high-interest debts. I am very confident in repayment.
Male,Graduate,No,150,309.10613734,214.0,1.0,Urban,Y,Consolidating high-interest debts. I am very confident in repayment.
Male,Not Graduate,No,6581,0.0,259.0,1.0,Semiurban,Y,Investment in a new startup opportunity. Business is booming right now.
Female,Graduate,Yes,1053,0.0,179.0,1.0,Semiurban,Y,Urgent medical expenses covered by loan. Business is booming right now.
Male,Not Graduate,No,561,0.0,189.0,0.0,Urban,Y,Consolidating high-interest debts. Facing some financial stress currently.
Male,Not Graduate,Yes,4496,0.0,127.0,1.0,Urban,Y,Buying a new car for daily commute. Facing some financial stress currently.
Male,Graduate,Yes,8644,0.0,288.0,1.0,Urban,N,Urgent medical expenses covered by loan. I might struggle slightly initially.
Female,Not Graduate,No,150,0.0,192.0,1.0,Rural,Y,I need to renovate my house immediately. Business is booming right now.
Female,Graduate,Yes,2706,1975.29607343,159.0,0.0,Rural,N,Urgent medical expenses covered by loan. I am very confident in repayment.
Male,Graduate,No,2465,0.0,191.0,1.0,Rural,Y,Buying a new car for daily commute. I might struggle slightly initially.
Male,Graduate,No,928,82.98851297,161.0,1.0,Urban,Y,Buying a new car for daily commute. I might struggle slightly initially.
Male,Graduate,No,4304,0.0,59.0,1.0,Semiurban,Y,Buying a new car for daily commute. I might struggle slightly initially.
Male,Graduate,No,4120,0.0,62.0,1.0,Rural,N,I need to renovate my house immediately. I am very confident in repayment.
Male,Not Graduate,No,2830,0.0,154.0,1.0,Rural,N,Consolidating high-interest debts. Business is booming right now.
Male,Not Graduate,No,5055,0.0,157.0,1.0,Semiurban,N,Consolidating high-interest debts. Business is booming right now.
Male,Not Graduate,Yes,150,0.0,267.0,1.0,Urban,N,Buying a new car for daily commute. Business is booming right now.
Female,Graduate,No,601,0.0,179.0,0.0,Urban,Y,Investment in a new startup opportunity. Business is booming right now.
Female,Graduate,No,8844,188.23472432,231.0,1.0,Urban,Y,Investment in a new startup opportunity. I might struggle slightly initially.
Male,Graduate,Yes,2527,1211.20201727,259.0,1.0,Rural,N,Investment in a new startup opportunity. Facing some financial stress currently.
Male,Not Graduate,No,3561,0.0,36.0,1.0,Semiurban,Y,Urgent medical expenses covered by loan. Business is booming right now.
Male,Graduate,No,150,0.0,266.0,1.0,Rural,N,Consolidating high-interest debts. I am very confident in repayment.
Female,Graduate,No,8700,0.0,168.0,1.0,Urban,Y,Consolidating high-interest debts. I might struggle slightly initially.
Female,Graduate,No,1249,355.13818499,341.0,1.0,Rural,Y,Consolidating high-interest debts. I might struggle slightly initially.
Male,Not Graduate,No,1355,98.29998148,399.0,1.0,Semiurban,Y,Urgent medical expenses covered by loan. I am very confident in repayment.
Male,Graduate,No,4212,0.0,211.0,1.0,Rural,Y,Urgent medical expenses covered by loan. Facing some financial stress currently.
Male,Graduate,No,1498,167.65058832,199.0,1.0,Rural,Y,Planning to expand my small business operations. Facing some financial stress currently.
Male,Not Graduate,No,3556,0.0,198.0,1.0,Rural,N,I need to renovate my house immediately. Business is booming right now.
Female,Graduate,No,12678,199.81984147,214.0,1.0,Rural,Y,Consolidating high-interest debts. I am very confident in repayment.
Male,Graduate,No,150,1858.90774897,159.0,1.0,Semiurban,Y,Buying a new car for daily commute. Business is booming right now.
Male,Graduate,No,4537,0.0,237.0,0.0,Urban,Y,Planning to expand my small business operations. I am very confident in repayment.
Male,Not Graduate,No,150,2467.33431878,121.0,1.0,Urban,Y,Buying a new car for daily commute. I might struggle slightly initially.
Male,Graduate,No,150,2843.80293394,251.0,1.0,Rural,N,Buying a new car for daily commute. Facing some financial stress currently.
Male,Graduate,No,3804,0.0,162.0,1.0,Urban,Y,Planning to expand my small business operations. Facing some financial stress currently.
Male,Graduate,Yes,6121,4356.0719287,231.0,0.0,Semiurban,N,Urgent medical expenses covered by loan. Business is booming right now.
Male,Not Graduate,No,150,0.0,180.0,0.0,Urban,N,Consolidating high-interest debts. I might struggle slightly initially.
Male,Graduate,No,4550,0.0,9.0,1.0,Urban,Y,Urgent medical expenses covered by loan. Facing some financial stress currently.
Female,Graduate,No,417,0.0,238.0,1.0,Rural,Y,Consolidating high-interest debts. I am very confident in repayment.
Female,Graduate,No,150,0.0,204.0,1.0,Rural,Y,Buying a new car for daily commute. I am very confident in repayment.
Male,Graduate,No,868,0.0,178.0,0.0,Rural,N,I need to renovate my house immediately. I am very confident in repayment.
Male,Graduate,No,5650,0.0,171.0,1.0,Semiurban,N,Urgent medical expenses covered by loan. Facing some financial stress currently.
Male,Graduate,No,1459,329.74564592,172.0,1.0,Urban,Y,I need to renovate my house immediately. I am very confident in repayment.
Female,Graduate,No,150,127.51922402,125.0,1.0,Rural,Y,Planning to expand my small business operations. I might struggle slightly initially.
Male,Graduate,No,1448,0.0,95.0,1.0,Urban,N,Buying a new car for daily commute. I might struggle slightly initially.
