Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Credit_History,Loan_Status,Application_Note,TotalIncome,LoanIncomeRatio,HasCreditHistory,Note_Length,Risk_Keyword_Flag,Gender_Male,Education_Not Graduate,Employment_Type_Self_Employed,Property_Area_Semiurban,Property_Area_Urban,IncomeLevel_Medium,IncomeLevel_High,IncomeLevel_Very High
Yes,7695,0.0,226.0,1.0,Y,Consolidating high-interest debts. I might struggle slightly initially.,7695.0,0.029365904365904368,1,71,1,False,False,True,False,True,False,True,False
Yes,1186,0.0,289.0,1.0,Y,Planning to expand my small business operations. I am very confident in repayment.,1186.0,0.2434709351305813,1,82,0,True,False,True,False,True,False,False,False
No,150,1724.554712,218.0,1.0,Y,Urgent medical expenses covered by loan. I am very confident in repayment.,1874.554712,0.11623227976513435,1,74,1,True,False,False,False,False,False,False,False
No,4141,2227.92608992,196.0,0.0,Y,Urgent medical expenses covered by loan. Business is booming right now.,6368.92608992,0.030769587783782523,0,71,1,False,False,False,False,False,False,True,False
No,150,17.07987468,245.0,0.0,Y,Urgent medical expenses covered by loan. I might struggle slightly initially.,167.07987468,1.4576403062320513,0,77,1,False,False,False,False,True,False,False,False
No,4301,0.0,99.0,1.0,Y,I need to renovate my house immediately. Business is booming right now.,4301.0,0.02301255230125523,1,71,0,True,False,False,True,False,True,False,False
No,3356,33.00044494,88.0,1.0,Y,Urgent medical expenses covered by loan. I am very confident in repayment.,3389.00044494,0.025958698657798415,1,74,1,True,False,False,True,False,True,False,False
No,4382,139.77047015,170.0,1.0,N,Buying a new car for daily commute. I am very confident in repayment.,4521.77047015,0.037587580692407294,1,69,0,False,False,False,False,True,True,False,False
No,1474,0.0,127.0,1.0,N,I need to renovate my house immediately. Facing some financial stress currently.,1474.0,0.08610169491525424,1,80,0,False,False,False,False,False,False,False,False
No,150,2942.13035646,176.0,0.0,Y,Investment in a new startup opportunity. Facing some financial stress currently.,3092.13035646,0.056900285379962785,0,80,0,False,True,False,True,False,True,False,False
No,2276,232.43909696,68.0,1.0,Y,Investment in a new startup opportunity. I might struggle slightly initially.,2508.43909696,0.027097688914776603,1,77,1,False,True,False,False,True,True,False,False
No,2465,0.0,165.0,1.0,N,Investment in a new startup opportunity. I might struggle slightly initially.,2465.0,0.06690997566909976,1,77,1,True,True,False,False,True,True,False,False
No,2050,0.0,60.0,1.0,Y,Urgent medical expenses covered by loan. Facing some financial stress currently.,2050.0,0.02925402242808386,1,80,1,True,False,False,False,False,True,False,False
No,3392,994.53413026,83.0,1.0,Y,Investment in a new startup opportunity. Facing some financial stress currently.,4386.53413026,0.01891723176067499,1,80,0,True,False,False,False,False,True,False,False
No,3796,0.0,204.0,1.0,Y,Planning to expand my small business operations. I am very confident in repayment.,3796.0,0.05372662628390835,1,82,0,True,True,False,True,False,True,False,False
No,3002,3003.06046846,286.0,1.0,Y,Urgent medical expenses covered by loan. I might struggle slightly initially.,6005.06046846,0.04761856819489075,1,77,1,True,False,False,False,False,False,True,False
No,226,0.0,152.0,1.0,Y,Consolidating high-interest debts. I might struggle slightly initially.,226.0,0.6696035242290749,1,71,1,True,False,False,True,False,False,False,False
No,9725,0.0,265.0,1.0,N,I need to renovate my house immediately. Facing some financial stress currently.,9725.0,0.02724655562410035,1,80,0,False,True,False,False,True,False,True,False
No,150,0.0,193.0,1.0,N,Buying a new car for daily commute. Facing some financial stress currently.,150.0,1.2781456953642385,1,75,0,False,True,False,True,False,False,False,False
Yes,2658,0.0,205.0,1.0,Y,Buying a new car for daily commute. Business is booming right now.,2658.0,0.07709665287702144,1,66,0,False,False,True,False,False,True,False,False
No,3522,0.0,97.0,0.0,Y,Consolidating high-interest debts. Facing some financial stress currently.,3522.0,0.02753335225659949,0,74,1,True,True,False,False,False,True,False,False
No,5172,0.0,600.0,1.0,Y,I need to renovate my house immediately. Business is booming right now.,5172.0,0.11598685482312004,1,71,0,True,False,False,False,False,False,True,False
No,257,0.0,319.0,1.0,Y,Buying a new car for daily commute. I am very confident in repayment.,257.0,1.2364341085271318,1,69,0,True,True,False,False,False,False,False,False
No,1037,0.0,253.0,1.0,N,Planning to expand my small business operations. I might struggle slightly initially.,1037.0,0.24373795761078998,1,85,1,True,True,False,True,False,False,False,False
No,16003,192.99907475,146.0,0.0,Y,Planning to expand my small business operations. I am very confident in repayment.,16195.99907475,0.009014015455962079,0,82,0,False,False,False,False,True,False,False,True
No,1545,455.53227991,228.0,1.0,N,Buying a new car for daily commute. Business is booming right now.,2000.53227991,0.11391272690853237,1,66,0,True,True,False,False,False,True,False,False
No,1574,0.0,290.0,0.0,Y,Consolidating high-interest debts. I might struggle slightly initially.,1574.0,0.18412698412698414,0,71,1,True,True,False,True,False,False,False,False
Yes,150,0.0,185.0,0.0,Y,Buying a new car for daily commute. Business is booming right now.,150.0,1.2251655629139073,0,66,0,True,True,True,False,False,False,False,False
No,513,0.0,221.0,1.0,Y,Urgent medical expenses covered by loan. Business is booming right now.,513.0,0.42996108949416345,1,71,1,True,False,False,False,True,False,False,False
No,150,0.0,258.0,1.0,Y,Consolidating high-interest debts. I might struggle slightly initially.,150.0,1.7086092715231789,1,71,1,True,True,False,False,True,False,False,False
No,4009,0.0,253.0,1.0,N,Investment in a new startup opportunity. I might struggle slightly initially.,4009.0,0.0630922693266833,1,77,1,True,False,False,False,False,True,False,False
No,937,1462.410968,146.0,0.0,N,Buying a new car for daily commute. I might struggle slightly initially.,2399.410968,0.06082291821956047,0,72,1,False,True,False,False,True,True,False,False
No,3673,2100.21087699,215.0,1.0,Y,Planning to expand my small business operations. I am very confident in repayment.,5773.2108769900005,0.03723452512909883,1,82,0,True,True,False,True,False,False,True,False
Yes,3579,0.0,199.0,1.0,N,Planning to expand my small business operations. I am very confident in repayment.,3579.0,0.05558659217877095,1,82,0,True,False,True,False,False,True,False,False
No,4567,0.0,322.0,1.0,Y,I need to renovate my house immediately. Facing some financial stress currently.,4567.0,0.07049036777583187,1,80,0,True,False,False,False,True,True,False,False
No,6379,0.0,248.0,1.0,Y,Investment in a new startup opportunity. Facing some financial stress currently.,6379.0,0.038871473354231974,1,80,0,True,False,False,False,True,False,True,False
No,2565,0.0,169.0,1.0,Y,Urgent medical expenses covered by loan. Facing some financial stress currently.,2565.0,0.06586126266562743,1,80,1,True,False,False,True,False,True,False,False
No,358,1315.96354522,369.0,1.0,Y,Investment in a new startup opportunity. I am very confident in repayment.,1673.96354522,0.2203033021542766,1,74,0,True,False,False,False,True,False,False,False
Yes,150,0.0,237.0,1.0,N,Consolidating high-interest debts. I might struggle slightly initially.,150.0,1.5695364238410596,1,71,1,False,False,True,False,True,False,False,False
Yes,1945,3228.11761241,243.0,1.0,Y,Urgent medical expenses covered by loan. Facing some financial stress currently.,5173.11761241,0.04696452964601543,1,80,1,False,False,True,False,True,False,True,False
Yes,3263,430.78164246,304.0,1.0,Y,Investment in a new startup opportunity. I am very confident in repayment.,3693.78164246,0.08227820461877028,1,74,0,True,False,True,False,False,True,False,False
No,3696,0.0,194.0,1.0,Y,I need to renovate my house immediately. I might struggle slightly initially.,3696.0,0.052474979713281036,1,77,1,True,False,False,True,False,True,False,False
No,184,0.0,243.0,1.0,N,Urgent medical expenses covered by loan. I might struggle slightly initially.,184.0,1.3135135135135134,1,77,1,True,False,False,True,False,False,False,False
No,747,0.0,83.0,1.0,Y,Urgent medical expenses covered by loan. Facing some financial stress currently.,747.0,0.11096256684491979,1,80,1,True,False,False,True,False,False,False,False
No,2988,0.0,226.0,1.0,N,Buying a new car for daily commute. I might struggle slightly initially.,2988.0,0.07561057209769154,1,72,1,True,True,False,True,False,True,False,False
No,1449,0.0,107.0,1.0,N,Planning to expand my small business operations. Business is booming right now.,1449.0,0.07379310344827586,1,79,0,False,False,False,True,False,False,False,False
No,150,0.0,281.0,0.0,Y,Consolidating high-interest debts. Facing some financial stress currently.,150.0,1.8609271523178808,0,74,1,True,False,False,False,False,False,False,False
No,475,0.0,241.0,1.0,N,Consolidating high-interest debts. I am very confident in repayment.,475.0,0.5063025210084033,1,68,1,True,False,False,True,False,False,False,False
No,7053,0.0,82.0,1.0,N,Buying a new car for daily commute. I am very confident in repayment.,7053.0,0.011624610150269351,1,69,0,True,True,False,True,False,False,True,False
No,4845,1453.33152103,91.0,0.0,Y,Buying a new car for daily commute. Facing some financial stress currently.,6298.33152103,0.014445977274922125,0,75,0,True,True,False,True,False,False,True,False
No,3583,0.0,101.0,0.0,Y,Consolidating high-interest debts. Facing some financial stress currently.,3583.0,0.028180803571428572,0,74,1,True,False,False,True,False,True,False,False
Yes,150,4738.53661387,212.0,0.0,Y,Urgent medical expenses covered by loan. I might struggle slightly initially.,4888.53661387,0.0433578919111938,0,77,1,True,False,True,True,False,True,False,False
No,150,614.07254442,195.0,1.0,Y,Planning to expand my small business operations. I am very confident in repayment.,764.07254442,0.2548777908999847,1,82,0,False,False,False,False,False,False,False,False
No,1421,0.0,244.0,0.0,N,Investment in a new startup opportunity. Facing some financial stress currently.,1421.0,0.17158931082981715,0,80,0,True,False,False,False,False,False,False,False
No,150,152.127835,265.0,0.0,Y,Urgent medical expenses covered by loan. Business is booming right now.,302.127835,0.8742186279263994,0,71,1,True,False,False,False,False,False,False,False
Yes,150,0.0,141.0,1.0,Y,I need to renovate my house immediately. Facing some financial stress currently.,150.0,0.9337748344370861,1,80,0,True,True,True,False,True,False,False,False
No,1702,0.0,192.0,1.0,N,Planning to expand my small business operations. Business is booming right now.,1702.0,0.11274221961244862,1,79,0,True,True,False,False,True,False,False,False
No,1123,340.91522522,79.0,1.0,Y,Investment in a new startup opportunity. I might struggle slightly initially.,1463.9152252200001,0.05392803531558341,1,77,1,True,False,False,False,True,False,False,False
Yes,6548,0.0,229.0,1.0,Y,Buying a new car for daily commute. I might struggle slightly initially.,6548.0,0.0349671705603909,1,72,1,True,False,True,True,False,False,True,False
No,1299,0.0,131.0,1.0,N,Urgent medical expenses covered by loan. Business is booming right now.,1299.0,0.10076923076923076,1,71,1,False,True,False,False,True,False,False,False
Yes,1607,174.7107864,368.0,1.0,Y,Planning to expand my small business operations. Facing some financial stress currently.,1781.7107864,0.20642720221777416,1,88,0,True,False,True,False,False,False,False,False
No,11949,0.0,227.0,1.0,Y,Consolidating high-interest debts. I am very confident in repayment.,11949.0,0.01899581589958159,1,68,1,False,False,False,False,False,False,False,True
No,1083,2197.28911369,250.0,1.0,N,Consolidating high-interest debts. Facing some financial stress currently.,3280.28911369,0.07618956798319441,1,74,1,True,True,False,False,False,True,False,False
No,2006,0.0,109.0,1.0,Y,Planning to expand my small business operations. I am very confident in repayment.,2006.0,0.05430991529646238,1,82,0,True,False,False,False,True,True,False,False
No,1622,0.0,236.0,1.0,Y,Consolidating high-interest debts. Facing some financial stress currently.,1622.0,0.14540973505853358,1,74,1,False,False,False,False,True,False,False,False
No,3890,247.76893489,234.0,1.0,N,Investment in a new startup opportunity. I might struggle slightly initially.,4137.76893489,0.05653855136182403,1,77,1,True,True,False,False,False,True,False,False
No,6902,0.0,220.0,1.0,Y,Consolidating high-interest debts. Facing some financial stress currently.,6902.0,0.03187020136172679,1,74,1,True,False,False,True,False,False,True,False
No,3884,0.27747384,228.0,1.0,Y,I need to renovate my house immediately. I might struggle slightly initially.,3884.27747384,0.05868306743473254,1,77,1,True,True,False,False,True,True,False,False
No,1200,0.0,108.0,1.0,N,Investment in a new startup opportunity. I am very confident in repayment.,1200.0,0.08992506244796003,1,74,0,True,True,False,True,False,False,False,False
Yes,5026,69.28204095,174.0,1.0,Y,Planning to expand my small business operations. I might struggle slightly initially.,5095.28204095,0.034142537363878823,1,85,1,True,False,True,False,False,False,True,False
No,1102,0.0,83.0,0.0,Y,I need to renovate my house immediately. I might struggle slightly initially.,1102.0,0.07524932003626474,0,77,1,False,False,False,False,False,False,False,False
No,7389,296.590141,208.0,1.0,Y,Buying a new car for daily commute. I am very confident in repayment.,7685.590141,0.027060113286193753,1,69,0,True,False,False,False,True,False,True,False
No,150,262.54257974,171.0,1.0,Y,Investment in a new startup opportunity. I am very confident in repayment.,412.54257974,0.41350034646374284,1,74,0,True,False,False,False,True,False,False,False
No,925,0.0,377.0,0.0,Y,Investment in a new startup opportunity. Business is booming right now.,925.0,0.40712742980561556,0,71,0,False,False,False,True,False,False,False,False
No,1072,0.0,381.0,1.0,Y,Investment in a new startup opportunity. I am very confident in repayment.,1072.0,0.3550792171481827,1,74,0,False,False,False,True,False,False,False,False
No,539,0.0,65.0,0.0,Y,Urgent medical expenses covered by loan. I might struggle slightly initially.,539.0,0.12037037037037036,0,77,1,True,False,False,False,False,False,False,False
Yes,584,0.0,228.0,1.0,Y,Buying a new car for daily commute. Facing some financial stress currently.,584.0,0.38974358974358975,1,75,0,False,False,True,False,True,False,False,False
No,1499,1064.4608591,218.0,0.0,N,Urgent medical expenses covered by loan. Facing some financial stress currently.,2563.4608591,0.08500812138599273,0,80,1,True,True,False,False,True,True,False,False
No,4792,0.0,177.0,1.0,N,Planning to expand my small business operations. Facing some financial stress currently.,4792.0,0.036928854579595244,1,88,0,True,True,False,True,False,True,False,False
No,2988,0.0,231.0,1.0,Y,Urgent medical expenses covered by loan. Business is booming right now.,2988.0,0.07728337236533958,1,71,1,True,True,False,True,False,True,False,False
No,1577,0.0,254.0,0.0,Y,Planning to expand my small business operations. Business is booming right now.,1577.0,0.16096324461343473,0,79,0,True,True,False,False,False,False,False,False
No,12748,0.0,256.0,1.0,N,I need to renovate my house immediately. I am very confident in repayment.,12748.0,0.02008000627500196,1,74,0,True,True,False,True,False,False,False,True
No,2038,0.0,132.0,0.0,Y,Urgent medical expenses covered by loan. I might struggle slightly initially.,2038.0,0.06473761647866601,0,77,1,True,False,False,False,False,True,False,False
No,1374,0.0,221.0,0.0,Y,I need to renovate my house immediately. Facing some financial stress currently.,1374.0,0.16072727272727272,0,80,0,True,False,False,False,True,False,False,False
No,4729,0.0,172.0,1.0,Y,Planning to expand my small business operations. I am very confident in repayment.,4729.0,0.03636363636363636,1,82,0,True,True,False,True,False,True,False,False
No,3311,0.0,152.0,1.0,Y,Buying a new car for daily commute. I am very confident in repayment.,3311.0,0.04589371980676329,1,69,0,True,False,False,True,False,True,False,False
Yes,550,0.0,395.0,1.0,Y,Urgent medical expenses covered by loan. Facing some financial stress currently.,550.0,0.7168784029038112,1,80,1,False,False,True,False,False,False,False,False
No,2532,111.14694087,361.0,1.0,Y,I need to renovate my house immediately. Business is booming right now.,2643.14694087,0.13652796462257905,1,71,0,True,True,False,False,False,True,False,False
Yes,150,0.0,144.0,1.0,Y,Consolidating high-interest debts. Facing some financial stress currently.,150.0,0.9536423841059603,1,74,1,True,False,True,True,False,False,False,False
No,150,5015.09763914,168.0,1.0,N,Consolidating high-interest debts. I might struggle slightly initially.,5165.09763914,0.03251971056976905,1,71,1,True,False,False,True,False,False,True,False
No,150,670.14646926,238.0,1.0,N,I need to renovate my house immediately. Facing some financial stress currently.,820.14646926,0.28983866936002367,1,80,0,True,True,False,False,False,False,False,False
No,2972,116.59678228,158.0,0.0,Y,I need to renovate my house immediately. Facing some financial stress currently.,3088.59678228,0.051139359319050774,0,80,0,True,True,False,True,False,True,False,False
No,150,0.0,235.0,1.0,Y,Planning to expand my small business operations. I am very confident in repayment.,150.0,1.5562913907284768,1,82,0,True,False,False,False,True,False,False,False
No,2310,0.0,145.0,0.0,Y,Planning to expand my small business operations. Business is booming right now.,2310.0,0.06274340112505408,0,79,0,True,False,False,False,True,True,False,False
No,7262,0.0,191.0,0.0,Y,Consolidating high-interest debts. Business is booming right now.,7262.0,0.026297673137821838,0,65,1,True,True,False,False,False,False,True,False
Yes,5764,0.0,219.0,1.0,N,Buying a new car for daily commute. I am very confident in repayment.,5764.0,0.037987857762359065,1,69,0,True,False,True,False,True,False,True,False
No,150,10012.85090373,197.0,1.0,N,Urgent medical expenses covered by loan. Business is booming right now.,10162.85090373,0.01938241734023308,1,71,1,True,True,False,False,True,False,False,True
No,1868,2210.71418993,426.0,1.0,N,Consolidating high-interest debts. Business is booming right now.,4078.71418993,0.10441907941774455,1,65,1,False,True,False,False,False,True,False,False
No,13762,18.08147347,219.0,1.0,N,I need to renovate my house immediately. I am very confident in repayment.,13780.08147347,0.015891350792867565,1,74,0,False,False,False,False,False,False,False,True
Yes,11306,3522.76676884,120.0,1.0,N,Investment in a new startup opportunity. I am very confident in repayment.,14828.76676884,0.008091833261473912,1,74,0,True,False,True,False,False,False,False,True
Yes,1927,2161.53036361,78.0,0.0,N,I need to renovate my house immediately. Facing some financial stress currently.,4088.53036361,0.01907309472355797,0,80,0,True,False,True,False,True,True,False,False
Yes,150,930.48645605,214.0,0.0,Y,Buying a new car for daily commute. Business is booming right now.,1080.48645605,0.19787580214514144,0,66,0,True,True,True,True,False,False,False,False
No,150,0.0,266.0,0.0,Y,Investment in a new startup opportunity. Business is booming right now.,150.0,1.7615894039735098,0,71,0,False,True,False,False,True,False,False,False
No,2163,0.0,80.0,1.0,Y,I need to renovate my house immediately. I am very confident in repayment.,2163.0,0.036968576709796676,1,74,0,True,True,False,False,False,True,False,False
No,6288,296.40894627,147.0,1.0,Y,I need to renovate my house immediately. I am very confident in repayment.,6584.40894627,0.022322076153412057,1,74,0,False,False,False,True,False,False,True,False
No,9093,0.0,183.0,1.0,N,Urgent medical expenses covered by loan. I am very confident in repayment.,9093.0,0.02012315812623708,1,74,1,True,True,False,False,False,False,True,False
No,1928,946.28174073,233.0,1.0,Y,Investment in a new startup opportunity. Business is booming right now.,2874.28174073,0.08103553703952646,1,71,0,False,False,False,True,False,True,False,False
No,16176,2958.12232921,224.0,1.0,Y,Buying a new car for daily commute. I am very confident in repayment.,19134.12232921,0.011706222523493421,1,69,0,True,True,False,True,False,False,False,True
No,1395,49.51024184,79.0,1.0,N,Consolidating high-interest debts. Business is booming right now.,1444.51024184,0.05465198219518691,1,65,1,False,False,False,False,False,False,False,False
No,150,0.0,439.0,1.0,Y,Buying a new car for daily commute. Business is booming right now.,150.0,2.9072847682119205,1,66,0,True,False,False,True,False,False,False,False
No,5646,0.0,35.0,1.0,Y,Planning to expand my small business operations. I might struggle slightly initially.,5646.0,0.006197981228971135,1,85,1,True,True,False,False,True,False,True,False
Yes,150,0.0,171.0,1.0,Y,Planning to expand my small business operations. Facing some financial stress currently.,150.0,1.1324503311258278,1,88,0,True,False,True,True,False,False,False,False
No,3362,0.0,331.0,1.0,N,Investment in a new startup opportunity. Facing some financial stress currently.,3362.0,0.0984240261671127,1,80,0,True,False,False,True,False,True,False,False
Yes,150,0.0,251.0,0.0,N,I need to renovate my house immediately. Facing some financial stress currently.,150.0,1.6622516556291391,0,80,0,False,False,True,True,False,False,False,False
No,318,0.0,181.0,1.0,Y,Consolidating high-interest debts. I might struggle slightly initially.,318.0,0.567398119122257,1,71,1,True,False,False,True,False,False,False,False
No,794,0.0,176.0,0.0,Y,Buying a new car for daily commute. Business is booming right now.,794.0,0.22138364779874214,0,66,0,False,False,False,False,True,False,False,False
No,4012,0.0,51.0,1.0,N,I need to renovate my house immediately. Facing some financial stress currently.,4012.0,0.01270869673560927,1,80,0,True,False,False,False,False,True,False,False
Yes,5118,2017.01910025,249.0,1.0,Y,I need to renovate my house immediately. Facing some financial stress currently.,7135.01910025,0.03489340436200299,1,80,0,False,True,True,True,False,False,True,False
No,1150,0.0,413.0,1.0,Y,Urgent medical expenses covered by loan. Business is booming right now.,1150.0,0.35881841876629017,1,71,1,True,False,False,False,False,False,False,False
No,150,0.0,93.0,1.0,Y,Buying a new car for daily commute. I am very confident in repayment.,150.0,0.6158940397350994,1,69,0,True,False,False,True,False,False,False,False
No,1831,0.0,167.0,0.0,N,Urgent medical expenses covered by loan. Facing some financial stress currently.,1831.0,0.09115720524017468,0,80,1,True,True,False,False,True,False,False,False
No,182,0.0,249.0,1.0,Y,Consolidating high-interest debts. Facing some financial stress currently.,182.0,1.360655737704918,1,74,1,True,False,False,False,False,False,False,False
No,830,2913.79355123,240.0,1.0,Y,Investment in a new startup opportunity. I might struggle slightly initially.,3743.79355123,0.06408898026465853,1,77,1,True,False,False,False,False,True,False,False
No,150,0.0,97.0,1.0,Y,Buying a new car for daily commute. Business is booming right now.,150.0,0.6423841059602649,1,66,0,True,False,False,False,False,False,False,False
No,1123,0.0,221.0,1.0,N,Planning to expand my small business operations. Facing some financial stress currently.,1123.0,0.19661921708185054,1,88,0,False,True,False,False,False,False,False,False
No,4850,131.60754853,149.0,1.0,Y,Investment in a new startup opportunity. I might struggle slightly initially.,4981.60754853,0.029904020846265308,1,77,1,True,True,False,False,False,True,False,False
No,17790,126.80392112,234.0,1.0,N,I need to renovate my house immediately. I am very confident in repayment.,17916.80392112,0.013059636160220532,1,74,0,True,False,False,False,True,False,False,True
No,12625,82.3644045,202.0,1.0,N,Consolidating high-interest debts. I am very confident in repayment.,12707.3644045,0.015895043104718676,1,68,1,False,False,False,False,False,False,False,True
No,150,0.0,204.0,1.0,Y,I need to renovate my house immediately. Facing some financial stress currently.,150.0,1.3509933774834437,1,80,0,True,False,False,False,False,False,False,False
No,900,0.0,345.0,1.0,N,Consolidating high-interest debts. I might struggle slightly initially.,900.0,0.38290788013318533,1,71,1,False,True,False,True,False,False,False,False
No,5685,40.98283213,250.0,1.0,N,Investment in a new startup opportunity. I am very confident in repayment.,5725.98283213,0.043653003217929864,1,74,0,False,False,False,True,False,False,True,False
No,150,0.0,271.0,1.0,N,Buying a new car for daily commute. I am very confident in repayment.,150.0,1.794701986754967,1,69,0,False,False,False,True,False,False,False,False
No,5276,0.0,196.0,1.0,Y,Investment in a new startup opportunity. Business is booming right now.,5276.0,0.03714231570968353,1,71,0,True,True,False,True,False,False,True,False
Yes,483,0.0,259.0,1.0,Y,Planning to expand my small business operations. I might struggle slightly initially.,483.0,0.5351239669421488,1,85,1,True,True,True,True,False,False,False,False
Yes,5542,232.77328222,185.0,0.0,Y,Investment in a new startup opportunity. Business is booming right now.,5774.77328222,0.032030343117777756,0,71,0,False,False,True,False,False,False,True,False
No,150,0.0,171.0,1.0,Y,Investment in a new startup opportunity. Business is booming right now.,150.0,1.1324503311258278,1,71,0,True,False,False,True,False,False,False,False
Yes,9652,2119.29836342,67.0,0.0,Y,Consolidating high-interest debts. I might struggle slightly initially.,11771.298363419999,0.005691327040112128,0,71,1,True,False,True,False,False,False,False,True
Yes,5418,0.0,207.0,1.0,Y,Planning to expand my small business operations. I am very confident in repayment.,5418.0,0.03819892969182506,1,82,0,True,False,True,False,True,False,True,False
No,636,0.0,241.0,1.0,N,Urgent medical expenses covered by loan. Business is booming right now.,636.0,0.3783359497645212,1,71,1,False,False,False,False,False,False,False,False
No,971,397.77958959,41.0,1.0,Y,I need to renovate my house immediately. I might struggle slightly initially.,1368.77958959,0.029931822836017034,1,77,1,True,False,False,True,False,False,False,False
No,6857,0.0,196.0,1.0,N,Investment in a new startup opportunity. I am very confident in repayment.,6857.0,0.02857976086322543,1,74,0,True,False,False,False,True,False,True,False
Yes,2753,0.0,242.0,0.0,Y,I need to renovate my house immediately. I am very confident in repayment.,2753.0,0.0878721859114016,0,74,0,True,False,True,True,False,True,False,False
No,2016,1666.23874602,172.0,1.0,Y,Buying a new car for daily commute. Facing some financial stress currently.,3682.23874602,0.04669803177593583,1,75,0,True,True,False,True,False,True,False,False
No,597,670.97952438,238.0,1.0,N,Planning to expand my small business operations. Facing some financial stress currently.,1267.97952438,0.18755227758011495,1,88,0,True,False,False,False,False,False,False,False
No,1755,1191.63764464,108.0,1.0,N,Buying a new car for daily commute. I might struggle slightly initially.,2946.63764464,0.03663951035378713,1,72,1,True,False,False,False,False,True,False,False
Yes,4433,788.27421718,124.0,1.0,Y,I need to renovate my house immediately. I might struggle slightly initially.,5221.27421718,0.02374444443994734,1,77,1,True,False,True,True,False,False,True,False
No,150,0.0,165.0,0.0,Y,Consolidating high-interest debts. Business is booming right now.,150.0,1.0927152317880795,0,65,1,False,False,False,False,False,False,False,False
Yes,150,0.0,239.0,0.0,Y,Investment in a new startup opportunity. I am very confident in repayment.,150.0,1.5827814569536425,0,74,0,False,False,True,False,True,False,False,False
No,10544,0.0,147.0,1.0,N,Urgent medical expenses covered by loan. I am very confident in repayment.,10544.0,0.013940256045519203,1,74,1,True,False,False,False,True,False,False,True
No,3303,0.0,125.0,1.0,Y,Urgent medical expenses covered by loan. Business is booming right now.,3303.0,0.037832929782082324,1,71,1,True,False,False,False,True,True,False,False
No,4592,0.0,164.0,1.0,Y,Investment in a new startup opportunity. Facing some financial stress currently.,4592.0,0.035706509906379275,1,80,0,False,True,False,False,False,True,False,False
No,150,0.0,243.0,1.0,N,Buying a new car for daily commute. Business is booming right now.,150.0,1.609271523178808,1,66,0,True,False,False,False,True,False,False,False
No,7869,0.0,271.0,1.0,N,Consolidating high-interest debts. Facing some financial stress currently.,7869.0,0.03443456162642948,1,74,1,True,True,False,True,False,False,True,False
No,3213,88.35380502,111.0,1.0,Y,Buying a new car for daily commute. I might struggle slightly initially.,3301.35380502,0.03361238878501323,1,72,1,True,False,False,False,True,True,False,False
